Game_Date,Sport,League_ID,Game_Status,Home_Team,Away_Team,Home_Score_Final,Away_Score_Final,Game_ID
2023-02-24 18:05:00,Baseball,1,Finished,Boston Red Sox,Northeastern,,,142781
2023-02-24 20:05:00,Baseball,1,Finished,Kansas City Royals,Texas Rangers,,,135720
2023-02-24 20:10:00,Baseball,1,Finished,San Diego Padres,Seattle Mariners,,,135719
2023-02-25 18:05:00,Baseball,1,Finished,Detroit Tigers,Philadelphia Phillies,,,135721
2023-02-25 18:05:00,Baseball,1,Finished,Philadelphia Phillies,New York Yankees,,,135722
2023-02-25 18:05:00,Baseball,1,Finished,St.Louis Cardinals,Washington Nationals,,,135727
2023-02-25 18:05:00,Baseball,1,Finished,Pittsburgh Pirates,Toronto Blue Jays,,,135729
2023-02-25 18:05:00,Baseball,1,Finished,Minnesota Twins,Tampa Bay Rays,,,135732
2023-02-25 18:05:00,Baseball,1,Finished,Baltimore Orioles,Minnesota Twins,,,135735
2023-02-25 18:05:00,Baseball,1,Finished,Atlanta Braves,Boston Red Sox,,,135736
2023-02-25 18:05:00,Baseball,1,Finished,Houston Astros,New York Mets,,,135737
2023-02-25 20:05:00,Baseball,1,Finished,Chicago Cubs,San Francisco Giants,,,135723
2023-02-25 20:05:00,Baseball,1,Finished,Oakland Athletics,Arizona Diamondbacks,,,135730
2023-02-25 20:05:00,Baseball,1,Finished,Texas Rangers,Kansas City Royals,,,135731
2023-02-25 20:05:00,Baseball,1,Finished,Cincinnati Reds,Cleveland Guardians,,,135733
2023-02-25 20:05:00,Baseball,1,Finished,Chicago White Sox,San Diego Padres,,,135734
2023-02-25 20:10:00,Baseball,1,Finished,Arizona Diamondbacks,Colorado Rockies,,,135724
2023-02-25 20:10:00,Baseball,1,Finished,Milwaukee Brewers,Los Angeles Dodgers,,,135725
2023-02-25 20:10:00,Baseball,1,Finished,Seattle Mariners,Los Angeles Angels,,,135728
2023-02-25 23:10:00,Baseball,1,Finished,New York Mets,Miami Marlins,,,135726
2023-02-26 18:05:00,Baseball,1,Finished,Detroit Tigers,Baltimore Orioles,,,135738
2023-02-26 18:05:00,Baseball,1,Finished,Philadelphia Phillies,Minnesota Twins,,,135739
2023-02-26 18:05:00,Baseball,1,Finished,Washington Nationals,Houston Astros,,,135743
2023-02-26 18:05:00,Baseball,1,Finished,New York Yankees,Atlanta Braves,,,135747
2023-02-26 18:05:00,Baseball,1,Finished,Boston Red Sox,Tampa Bay Rays,,,135754
2023-02-26 18:07:00,Baseball,1,Finished,Toronto Blue Jays,New York Yankees,,,135744
